iter	Logloss
0	0.6693913073
1	0.6480452571
2	0.6265057165
3	0.6063708961
4	0.5875772967
5	0.5698085846
6	0.5523704454
7	0.5360221736
8	0.5201669028
9	0.5053647165
10	0.4909926613
11	0.47751445
12	0.4645880175
13	0.4524077811
14	0.4412418441
15	0.4300635738
16	0.4189576936
17	0.4086374053
18	0.3990587549
19	0.3894248255
20	0.380451736
21	0.3719508258
22	0.3638632644
23	0.3559362836
24	0.3485485126
25	0.3411619148
26	0.3339639008
27	0.3272183164
28	0.3208104379
29	0.3148695722
30	0.3089286028
31	0.3030593972
32	0.2975139288
33	0.2922936127
34	0.2873087553
35	0.2823575213
36	0.2778688397
37	0.2735128106
38	0.2692185743
39	0.265163354
40	0.2613295929
41	0.2575319527
42	0.2537342658
43	0.2502114574
44	0.2468593834
45	0.2437676751
46	0.2406636675
47	0.2376244305
48	0.2346052371
49	0.2317918776
