iter	Passed	Remaining
0	157	7720
1	164	3949
2	173	2710
3	182	2099
4	192	1728
5	201	1475
6	210	1291
7	219	1153
8	229	1044
9	238	952
10	245	868
11	254	804
12	264	751
13	273	702
14	281	657
15	290	617
16	296	574
17	304	542
18	312	509
19	321	482
20	329	454
21	338	430
22	346	406
23	355	385
24	364	364
25	373	344
26	381	325
27	390	306
28	399	288
29	407	271
30	415	254
31	424	238
32	433	223
33	441	207
34	450	193
35	459	178
36	469	164
37	478	151
38	489	138
39	498	124
40	506	111
41	515	98
42	524	85
43	533	72
44	543	60
45	551	47
46	560	35
47	568	23
48	577	11
49	586	0
